"RDate","glacier_677013"
1985-01-01,NA
1985-02-01,NA
1985-03-01,NA
1985-04-01,1.7181
1985-05-01,1.6029
1985-06-01,1.7046
1985-07-01,1.2294
1985-08-01,NA
1985-09-01,NA
1985-10-01,NA
1985-11-01,NA
1985-12-01,NA
1986-01-01,NA
1986-02-01,NA
1986-03-01,NA
1986-04-01,1.7604
1986-05-01,0.0126
1986-06-01,1.7802
1986-07-01,NA
1986-08-01,NA
1986-09-01,NA
1986-10-01,NA
1986-11-01,NA
1986-12-01,NA
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,1.7748
1987-05-01,0.5859
1987-06-01,1.7451
1987-07-01,1.755
1987-08-01,NA
1987-09-01,NA
1987-10-01,NA
1987-11-01,NA
1987-12-01,NA
1988-01-01,NA
1988-02-01,NA
1988-03-01,NA
1988-04-01,1.7217
1988-05-01,1.7406
1988-06-01,0
1988-07-01,1.7955
1988-08-01,NA
1988-09-01,NA
1988-10-01,NA
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,NA
1989-03-01,NA
1989-04-01,1.6956
1989-05-01,1.7334
1989-06-01,1.7802
1989-07-01,1.7082
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,NA
1989-12-01,NA
1990-01-01,NA
1990-02-01,NA
1990-03-01,NA
1990-04-01,1.3617
1990-05-01,0
1990-06-01,1.7361
1990-07-01,1.7811
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,NA
1990-12-01,NA
1991-01-01,NA
1991-02-01,NA
1991-03-01,NA
1991-04-01,0.8001
1991-05-01,0.0297
1991-06-01,1.7442
1991-07-01,1.755
1991-08-01,NA
1991-09-01,NA
1991-10-01,NA
1991-11-01,NA
1991-12-01,NA
1992-01-01,NA
1992-02-01,NA
1992-03-01,NA
1992-04-01,1.791
1992-05-01,1.7784
1992-06-01,1.7298
1992-07-01,1.7739
1992-08-01,NA
1992-09-01,NA
1992-10-01,NA
1992-11-01,NA
1992-12-01,NA
1993-01-01,NA
1993-02-01,NA
1993-03-01,NA
1993-04-01,NA
1993-05-01,1.7892
1993-06-01,1.7793
1993-07-01,0
1993-08-01,NA
1993-09-01,NA
1993-10-01,NA
1993-11-01,NA
1993-12-01,NA
1994-01-01,NA
1994-02-01,NA
1994-03-01,NA
1994-04-01,1.7712
1994-05-01,1.7442
1994-06-01,1.7685
1994-07-01,1.7658
1994-08-01,NA
