"RDate","glacier_676761"
1985-01-01,NA
1985-02-01,1.7793
1985-03-01,1.8324
1985-04-01,1.7982
1985-05-01,1.7928
1985-06-01,1.7883
1985-07-01,NA
1985-08-01,NA
1985-09-01,NA
1985-10-01,0
1985-11-01,NA
1985-12-01,NA
1986-01-01,NA
1986-02-01,1.7838
1986-03-01,1.7757
1986-04-01,1.8216
1986-05-01,1.5849
1986-06-01,1.7892
1986-07-01,0.1872
1986-08-01,NA
1986-09-01,NA
1986-10-01,0
1986-11-01,0
1986-12-01,NA
1987-01-01,NA
1987-02-01,1.8198
1987-03-01,1.8117
1987-04-01,1.7559
1987-05-01,0.387
1987-06-01,0.3501
1987-07-01,1.8135
1987-08-01,NA
1987-09-01,NA
1987-10-01,0
1987-11-01,0
1987-12-01,NA
1988-01-01,NA
1988-02-01,1.764
1988-03-01,1.8207
1988-04-01,1.8045
1988-05-01,1.7298
1988-06-01,1.7748
1988-07-01,NA
1988-08-01,NA
1988-09-01,NA
1988-10-01,0
1988-11-01,NA
1988-12-01,NA
1989-01-01,NA
1989-02-01,1.0332
1989-03-01,0.27
1989-04-01,1.7883
1989-05-01,1.8297
1989-06-01,1.8018
1989-07-01,1.8612
1989-08-01,NA
1989-09-01,NA
1989-10-01,NA
1989-11-01,0
1989-12-01,NA
1990-01-01,NA
1990-02-01,NA
1990-03-01,0.5364
1990-04-01,1.8297
1990-05-01,1.7631
1990-06-01,1.6506
1990-07-01,1.8387
1990-08-01,NA
1990-09-01,NA
1990-10-01,0
1990-11-01,0
1990-12-01,NA
1991-01-01,NA
1991-02-01,1.1898
1991-03-01,1.566
1991-04-01,1.8306
1991-05-01,1.215
1991-06-01,1.8405
1991-07-01,1.7775
1991-08-01,NA
1991-09-01,NA
1991-10-01,0
1991-11-01,0
1991-12-01,NA
1992-01-01,NA
1992-02-01,1.7919
1992-03-01,1.4787
1992-04-01,1.7784
1992-05-01,1.7793
1992-06-01,1.7118
1992-07-01,0
1992-08-01,NA
1992-09-01,NA
1992-10-01,0
1992-11-01,0
1992-12-01,NA
1993-01-01,NA
1993-02-01,0.6039
1993-03-01,1.7901
1993-04-01,9e-04
1993-05-01,0
1993-06-01,1.7766
1993-07-01,1.8594
1993-08-01,NA
1993-09-01,NA
1993-10-01,0
1993-11-01,0
1993-12-01,NA
1994-01-01,NA
1994-02-01,1.7964
1994-03-01,1.8045
1994-04-01,0.0126
1994-05-01,1.2789
1994-06-01,1.8009
1994-07-01,1.8315
1994-08-01,NA
1994-09-01,NA
1994-10-01,0
1994-11-01,0
1994-12-01,NA
1995-01-01,NA
1995-02-01,1.7172
1995-03-01,1.8549
1995-04-01,1.6632
1995-05-01,1.7919
1995-06-01,1.7271
1995-07-01,1.8702
1995-08-01,NA
1995-09-01,NA
1995-10-01,0
1995-11-01,0
1995-12-01,NA
1996-01-01,NA
1996-02-01,0.6444
1996-03-01,1.7982
1996-04-01,1.7712
1996-05-01,1.8288
1996-06-01,1.7568
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,1.7919
1997-04-01,1.8198
1997-05-01,1.755
1997-06-01,1.7802
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,NA
1998-01-01,NA
1998-02-01,NA
1998-03-01,1.8486
1998-04-01,1.3113
1998-05-01,1.8027
1998-06-01,1.8009
1998-07-01,0.5067
1998-08-01,NA
1998-09-01,NA
1998-10-01,NA
1998-11-01,0
1998-12-01,NA
1999-01-01,NA
1999-02-01,NA
1999-03-01,1.7856
1999-04-01,1.6821
1999-05-01,1.7964
1999-06-01,1.8198
1999-07-01,1.8666
1999-08-01,NA
1999-09-01,NA
1999-10-01,0
1999-11-01,0
1999-12-01,NA
2000-01-01,NA
2000-02-01,1.7397
2000-03-01,1.8675
2000-04-01,1.8342
2000-05-01,1.836
2000-06-01,1.8558
2000-07-01,1.8378
2000-08-01,NA
2000-09-01,NA
2000-10-01,0
2000-11-01,0
2000-12-01,NA
2001-01-01,NA
2001-02-01,1.4859
2001-03-01,1.8468
2001-04-01,1.8144
2001-05-01,1.7811
2001-06-01,1.8018
2001-07-01,1.8387
2001-08-01,NA
2001-09-01,NA
2001-10-01,NA
2001-11-01,0
2001-12-01,NA
2002-01-01,NA
2002-02-01,NA
2002-03-01,1.8324
2002-04-01,1.8441
2002-05-01,1.8288
2002-06-01,1.7892
2002-07-01,1.8558
2002-08-01,NA
2002-09-01,NA
2002-10-01,0
2002-11-01,0
2002-12-01,NA
2003-01-01,NA
2003-02-01,0.4698
2003-03-01,1.3275
2003-04-01,1.8216
2003-05-01,1.8054
2003-06-01,1.7694
2003-07-01,1.7703
2003-08-01,NA
2003-09-01,NA
2003-10-01,0
2003-11-01,0
2003-12-01,NA
2004-01-01,NA
2004-02-01,1.7946
2004-03-01,0.6552
2004-04-01,1.7604
2004-05-01,1.8477
2004-06-01,1.7622
2004-07-01,1.8351
2004-08-01,NA
2004-09-01,NA
2004-10-01,0
2004-11-01,0
2004-12-01,NA
2005-01-01,NA
2005-02-01,1.7568
2005-03-01,1.8351
2005-04-01,0.6768
2005-05-01,1.4202
2005-06-01,1.8279
2005-07-01,1.7901
2005-08-01,NA
2005-09-01,NA
2005-10-01,0
2005-11-01,0
2005-12-01,NA
2006-01-01,NA
2006-02-01,1.7145
2006-03-01,1.8387
2006-04-01,1.8081
2006-05-01,1.8126
2006-06-01,1.7802
2006-07-01,1.8144
2006-08-01,NA
2006-09-01,NA
2006-10-01,0
2006-11-01,0
2006-12-01,NA
2007-01-01,NA
2007-02-01,0.7497
2007-03-01,1.4994
2007-04-01,1.6074
2007-05-01,1.8162
2007-06-01,1.8009
2007-07-01,1.8279
2007-08-01,NA
2007-09-01,NA
2007-10-01,NA
2007-11-01,0
2007-12-01,NA
2008-01-01,NA
2008-02-01,NA
2008-03-01,1.818
2008-04-01,1.5408
2008-05-01,1.8108
2008-06-01,1.8099
2008-07-01,1.8234
2008-08-01,NA
2008-09-01,NA
2008-10-01,NA
2008-11-01,0
2008-12-01,NA
2009-01-01,NA
2009-02-01,NA
2009-03-01,1.8657
2009-04-01,1.8234
2009-05-01,1.7739
2009-06-01,1.7532
2009-07-01,1.8279
2009-08-01,NA
2009-09-01,NA
2009-10-01,0
2009-11-01,0
2009-12-01,NA
2010-01-01,NA
2010-02-01,1.7064
2010-03-01,1.8288
2010-04-01,1.7748
2010-05-01,1.7712
2010-06-01,1.8045
2010-07-01,1.7073
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,0
2010-12-01,NA
2011-01-01,NA
2011-02-01,NA
2011-03-01,1.836
2011-04-01,0.8136
2011-05-01,1.7631
2011-06-01,1.8126
2011-07-01,1.854
2011-08-01,NA
2011-09-01,NA
2011-10-01,0
2011-11-01,0
2011-12-01,NA
2012-01-01,NA
2012-02-01,0.9207
2012-03-01,0.9999
2012-04-01,0
2012-05-01,1.6695
2012-06-01,1.7622
2012-07-01,1.6938
2012-08-01,NA
2012-09-01,NA
2012-10-01,0
2012-11-01,0
2012-12-01,NA
2013-01-01,NA
2013-02-01,1.3095
2013-03-01,1.8117
2013-04-01,1.7694
2013-05-01,1.8009
2013-06-01,1.8027
2013-07-01,1.7964
2013-08-01,NA
2013-09-01,NA
2013-10-01,0
2013-11-01,0
2013-12-01,NA
2014-01-01,NA
2014-02-01,1.5525
2014-03-01,1.8414
2014-04-01,1.8198
2014-05-01,1.8126
2014-06-01,1.836
2014-07-01,1.8567
2014-08-01,NA
2014-09-01,NA
2014-10-01,0
2014-11-01,0
2014-12-01,NA
2015-01-01,NA
2015-02-01,1.7739
2015-03-01,1.8423
2015-04-01,1.8036
2015-05-01,1.8009
2015-06-01,1.8108
2015-07-01,1.8342
2015-08-01,NA
2015-09-01,NA
2015-10-01,0
2015-11-01,0
2015-12-01,NA
2016-01-01,NA
2016-02-01,1.8675
2016-03-01,1.476
2016-04-01,1.8045
2016-05-01,1.8198
2016-06-01,1.7757
2016-07-01,NA
2016-08-01,NA
2016-09-01,NA
2016-10-01,NA
2016-11-01,NA
2016-12-01,NA
2017-01-01,NA
2017-02-01,NA
2017-03-01,1.8171
2017-04-01,1.7649
2017-05-01,1.8261
2017-06-01,1.8054
2017-07-01,NA
2017-08-01,NA
2017-09-01,NA
2017-10-01,0
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,0.7353
2018-03-01,1.8117
2018-04-01,1.791
2018-05-01,1.8009
2018-06-01,1.8306
2018-07-01,NA
2018-08-01,NA
2018-09-01,0
2018-10-01,0
2018-11-01,NA
2018-12-01,NA
2019-01-01,0.7686
2019-02-01,0
2019-03-01,1.8225
2019-04-01,1.782
2019-05-01,1.8216
2019-06-01,1.7676
2019-07-01,NA
2019-08-01,NA
2019-09-01,NA
2019-10-01,0
2019-11-01,NA
2019-12-01,NA
